e401k,inc,marr,male,age,fsize,nettfa,p401k,pira
0,13.170000076293945,0,0,40,1,4.574999809265137,0,1
1,61.22999954223633,0,1,35,1,154,1,0
0,12.857999801635742,1,0,44,2,0,0,0
0,98.87999725341797,1,1,44,2,21.799999237060547,0,0
0,22.61400032043457,0,0,53,1,18.450000762939453,0,0
0,15,1,0,60,3,0,0,0
0,37.154998779296875,1,0,49,5,3.4830000400543213,0,1
0,31.895999908447266,1,0,38,5,-2.0999999046325684,0,0
0,47.29499816894531,1,0,52,2,5.289999961853027,0,1
1,29.100000381469727,0,1,45,1,29.600000381469727,0,1
0,23.457000732421875,1,0,61,3,0,0,0
0,31.78499984741211,1,0,40,6,18.14900016784668,0,0
0,34.941001892089844,1,0,48,3,0.6949999928474426,0,0
0,24.43199920654297,1,0,60,2,0.20000000298023224,0,0
0,25.131000518798828,1,0,43,5,-4.25,0,0
0,19.073999404907227,0,1,43,1,0,0,0
1,38.77199935913086,1,0,47,2,4.150000095367432,1,0
1,12.479999542236328,1,0,27,2,-10,0,0
1,45.38999938964844,1,0,57,2,122.5,0,1
0,39.861000061035156,1,0,35,2,1.600000023841858,0,1
1,102.5999984741211,1,0,53,5,40.999000549316406,1,1
0,39.57899856567383,1,0,36,4,12.175000190734863,0,0
0,40.194000244140625,1,0,40,3,8.300000190734863,0,1
0,25.253999710083008,0,1,31,1,9.687000274658203,0,1
0,10.800000190734863,0,0,48,2,0.5,0,0
0,27,0,1,42,1,0.12999999523162842,0,0
0,17.856000900268555,1,0,42,5,-15.494999885559082,0,0
1,38.939998626708984,1,0,35,2,0.20000000298023224,1,0
0,12.239999771118164,0,1,32,2,-2.5,0,1
0,18,0,0,46,2,0,0,1
1,21.45599937438965,0,0,25,1,-21.020000457763672,1,0
0,14.024999618530273,1,0,39,5,1.399999976158142,0,0
0,15.185999870300293,1,1,36,4,-5.191999912261963,0,1
1,41.415000915527344,1,0,34,5,5.800000190734863,1,1
0,12.965999603271484,0,0,52,2,-4.25,0,0
0,58.79999923706055,1,0,41,2,63.70000076293945,0,1
1,63.8489990234375,1,0,44,5,5.89900016784668,1,0
1,47.099998474121094,0,1,61,2,59.79999923706055,1,0
0,36.071998596191406,1,0,63,3,72.2249984741211,0,1
1,107.63999938964844,1,0,51,2,69,1,1
1,58.91999816894531,1,0,49,4,19.679000854492188,0,0
1,48.6150016784668,1,0,36,4,-2.700000047683716,0,0
0,29.204999923706055,1,0,34,6,0.2680000066757202,0,0
0,24.44099998474121,0,0,36,2,2,0,0
0,18.524999618530273,1,0,28,5,-1.9800000190734863,0,0
0,15.359999656677246,1,0,38,4,-0.949999988079071,0,0
0,53.474998474121094,1,0,54,2,0.33000001311302185,0,0
1,31.055999755859375,1,0,47,6,5.639999866485596,1,0
0,36.071998596191406,1,0,46,5,0,0,0
1,19.163999557495117,1,0,51,2,0.8989999890327454,0,0
0,44.375999450683594,0,1,48,1,24.999000549316406,0,0
0,28.32900047302246,0,0,54,2,26.530000686645508,0,1
1,37.380001068115234,0,1,48,1,2.999000072479248,0,0
0,17.816999435424805,0,1,42,1,1.7000000476837158,0,0
1,71.02799987792969,1,0,60,2,257.6000061035156,1,1
0,28.47599983215332,0,0,58,1,27,0,1
0,34.04100036621094,1,0,30,2,-4,0,0
0,25.860000610351562,0,0,26,1,10.5,0,0
1,77.3550033569336,1,0,33,4,30.899999618530273,1,1
0,15.413999557495117,0,0,50,4,0.14499999582767487,0,0
0,73.9020004272461,1,0,44,4,14.298999786376953,0,0
1,10.545000076293945,0,1,25,1,1.031000018119812,1,0
0,24.177000045776367,0,1,25,1,-1.3009999990463257,0,0
1,33.41999816894531,0,0,46,2,8.411999702453613,1,0
0,53.22600173950195,1,0,51,8,-1.2000000476837158,0,0
0,31.868999481201172,0,1,36,1,1.600000023841858,0,1
0,26.945999145507812,0,0,64,2,-3.799999952316284,0,0
1,90.72599792480469,1,0,62,2,13.600000381469727,1,1
0,28.799999237060547,1,0,31,8,0.10000000149011612,0,0
0,23.19300079345703,1,0,37,7,-1.8860000371932983,0,0
1,36.0359992980957,0,1,64,1,18.25,1,0
0,56.082000732421875,1,0,28,2,9.800000190734863,0,0
0,16.031999588012695,0,1,25,2,1.9299999475479126,0,0
1,52.236000061035156,1,0,38,6,-3,0,0
0,39.630001068115234,1,0,41,3,0.22499999403953552,0,0
1,34.470001220703125,1,0,50,5,27.79800033569336,1,0
0,31.54800033569336,1,0,56,6,-24.799999237060547,0,0
1,31.200000762939453,1,0,28,2,-72.80000305175781,0,0
1,19.805999755859375,1,0,39,4,25.56999969482422,1,0
1,74.52899932861328,1,0,42,4,17.950000762939453,1,0
1,26.68199920654297,1,0,43,5,3.5999999046325684,1,0
0,33.75,0,1,25,1,-3,0,0
1,146.57699584960938,1,0,43,5,778.62799072265625,1,1
0,23.718000411987305,0,0,32,1,14.298999786376953,0,1
1,19.302000045776367,0,0,31,1,-3.4000000953674316,0,0
0,29.399999618530273,1,0,53,2,27.959999084472656,0,1
0,16.976999282836914,0,0,35,2,-1.024999976158142,0,0
0,19.733999252319336,1,0,49,7,-1.2999999523162842,0,0
0,14.279999732971191,1,0,43,4,-0.5,0,0
0,30.075000762939453,1,0,47,3,4.23199987411499,0,1
0,27,1,0,46,3,-3.299999952316284,0,0
1,33.959999084472656,1,0,36,13,10.199999809265137,1,0
0,64.5,1,0,47,3,5.900000095367432,0,0
0,24.030000686645508,0,0,31,2,-4,0,0
0,21.111000061035156,0,0,64,1,2.5,0,0
0,51.79800033569336,0,0,38,2,41.999000549316406,0,0
1,17.36400032043457,1,0,27,2,-37.50400161743164,1,0
0,19.253999710083008,0,0,28,1,-1.100000023841858,0,0
0,27.60300064086914,1,0,35,4,7.559000015258789,0,0
0,31.440000534057617,0,1,33,1,-1,0,0
0,30.239999771118164,0,0,45,3,0.9200000166893005,0,0
0,16.829999923706055,0,1,28,1,0.7400000095367432,0,0
1,30.231000900268555,1,0,34,4,-0.029999999329447746,1,0
0,35.400001525878906,0,1,33,2,2.4749999046325684,0,0
1,46.154998779296875,1,0,55,5,53.948001861572266,1,1
0,27.329999923706055,1,0,50,4,-2.5999999046325684,0,0
1,24.67799949645996,0,0,44,3,0.5830000042915344,0,0
1,36.027000427246094,1,1,59,2,20.249000549316406,1,0
0,13.59000015258789,0,0,32,4,0,0,0
0,15.741000175476074,0,0,49,2,0.05000000074505806,0,0
0,27.46500015258789,1,0,52,4,1.100000023841858,0,0
0,54.9630012512207,1,0,55,2,53.69900131225586,0,0
0,18.548999786376953,1,0,63,2,19,0,0
1,21.576000213623047,0,1,39,1,14.5,1,1
0,38.7599983215332,1,0,47,3,-0.5,0,0
1,64.66200256347656,1,0,62,2,19.444000244140625,1,1
1,43.15800094604492,1,0,46,2,8,1,0
0,17.8799991607666,0,0,43,3,-3.1510000228881836,0,0
1,23.700000762939453,1,0,53,2,13.199999809265137,1,0
0,37.755001068115234,1,0,56,2,-1.2000000476837158,0,0
1,40.97100067138672,1,1,29,3,-9.968000411987305,1,0
0,13.428000450134277,1,0,28,2,7.178999900817871,0,0
1,92.990997314453125,1,0,48,5,83.9000015258789,1,1
0,35.06100082397461,1,0,41,3,22,0,0
0,17.13599967956543,0,1,34,3,0.014999999664723873,0,0
0,16.95599937438965,1,0,47,2,0.8259999752044678,0,0
1,56.70000076293945,1,0,63,2,94.39900207519531,1,1
0,70.2750015258789,1,0,41,4,-2.1570000648498535,0,0
0,13.46399974822998,0,0,27,2,0.4000000059604645,0,0
0,74.64900207519531,1,0,39,4,-8.005000114440918,0,0
0,24.011999130249023,0,0,41,3,-9.456000328063965,0,0
0,20.55900001525879,0,0,30,3,2.9000000953674316,0,0
0,39.52799987792969,1,1,55,2,-15.718000411987305,0,1
0,39.303001403808594,0,0,34,1,-12.187999725341797,0,0
0,17.71500015258789,0,1,31,1,4.050000190734863,0,0
